[2025-09-25 22:14:39] [INFO    ] discord.client: logging in using static token
[2025-09-25 22:14:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-25 22:14:40] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-25 22:14:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1380535770489688114', 'username': 'Rem-lapse', 'avatar': 'a_62173dce422ea2227ec7071e4bef0f75', 'discriminator': '6084', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-25 22:14:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-25 22:14:40] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-25 22:14:40] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1380535770489688114', 'name': 'Rem-lapse', 'icon': 'cd42c2004d99b1907c4d0a065ac4393e', 'description': '', 'type': None, 'bot': {'id': '1380535770489688114', 'username': 'Rem-lapse', 'avatar': 'a_62173dce422ea2227ec7071e4bef0f75', 'discriminator': '6084', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'e4c6ae0f28d42c89d1273384ff8d02329abc308580ad45bd923d6913332425e4', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1226367576100048917', 'username': 'leyyfromstyora', 'avatar': '8878cb5dcc72cb3020747fce03fcb410', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 13946567, 'global_name': 'ley.deb', 'avatar_decoration_data': {'asset': 'a_44d96dca4f514777925f23d841f36fac', 'sku_id': '1349486948942745695', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#d4cec7', 'clan': {'identity_guild_id': '1172245377395728464', 'identity_enabled': True, 'tag': 'ATL', 'badge': '73d86ffb81cdcdc4f275eaf3b82fca31'}, 'primary_guild': {'identity_guild_id': '1172245377395728464', 'identity_enabled': True, 'tag': 'ATL', 'badge': '73d86ffb81cdcdc4f275eaf3b82fca31'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-25 22:14:41] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-25 22:14:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-1rtx",{"micros":0.0}]']}}
[2025-09-25 22:14:41] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-25 22:14:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
